Log,cp_temperature,mixer_temperature_Funnel_outlet,ac_flowrate,cp_pressure,cp_flowrate,mixer_speed_M2,mixer_temperature_Funnel_plate,mixer_pressure,mixer_motor_temperature_M1,mixer_torque_M1,mixer_motor_temperature_M2,mixer_torque_M2,mixer_temperature_Funnel,mixer_speed_M1,Time
147,0.0,28.4,51.8,0.643,1.5,119.978,27.9,0.288,31.6,3.625,34.9,3.814,25.4,119.978,11:22:41.404
148,0.0,26.3,51.8,0.612,1.5,119.347,27.9,0.293,32.4,4.078,34.7,3.323,25.4,119.347,11:22:42.506
149,0.0,28.4,51.8,0.671,1.5,119.984,29.3,0.342,32.0,3.134,34.7,3.738,25.4,119.984,11:22:43.607
150,0.0,26.3,51.8,0.654,1.5,119.88,27.9,0.304,32.0,4.078,34.9,3.927,26.9,119.88,11:22:44.711
151,0.0,26.3,51.8,0.663,1.5,119.908,29.3,0.27,32.2,3.361,34.7,3.625,25.4,119.908,11:22:45.812
152,0.0,26.4,51.8,0.626,1.5,118.874,27.9,0.284,32.4,5.022,34.9,3.927,26.9,118.874,11:22:46.914
153,0.0,26.3,51.8,0.569,1.5,119.069,27.9,0.347,32.0,4.758,34.9,4.04,25.4,119.069,11:22:48.021
154,0.0,28.4,51.8,0.658,1.5,119.531,27.9,0.28,32.0,3.625,34.9,3.134,25.4,119.531,11:22:49.125
155,0.0,26.3,51.8,0.729,1.5,120.274,27.9,0.251,32.6,3.361,34.7,2.832,26.9,120.274,11:22:50.231
156,0.0,26.3,51.8,0.658,1.5,118.816,27.9,0.273,32.6,4.418,35.3,3.852,25.4,118.816,11:22:51.347
157,0.0,28.4,51.8,0.621,1.5,119.541,27.9,0.294,32.2,4.456,34.5,4.04,25.4,119.541,11:22:52.454
158,0.0,26.3,51.8,0.649,1.5,120.479,27.9,0.343,32.4,2.794,34.9,4.229,26.9,120.479,11:22:53.573
159,0.0,26.3,51.8,0.62,1.5,119.205,27.9,0.286,32.0,4.909,34.7,4.154,25.4,119.205,11:22:54.694
160,0.0,28.4,51.8,0.673,1.5,120.194,29.3,0.283,32.0,3.7,34.9,4.003,25.4,120.194,11:22:55.799
161,0.0,28.4,51.8,0.653,1.5,119.85,27.9,0.266,31.6,3.7,34.9,4.078,25.5,119.85,11:22:56.917
162,0.0,26.3,51.8,0.651,1.5,120.185,27.9,0.283,31.8,3.361,35.1,3.927,26.9,120.185,11:22:58.040
163,0.0,26.3,51.8,0.608,1.5,119.341,27.9,0.321,32.2,3.927,34.9,4.116,25.4,119.341,11:22:59.158
164,0.0,28.4,51.8,0.629,1.5,120.565,27.9,0.303,32.0,3.436,34.5,3.927,25.4,120.565,11:23:00.261
165,0.0,26.3,51.8,0.636,1.5,120.205,27.9,0.347,32.0,3.512,34.9,3.436,26.9,120.205,11:23:01.367
166,0.0,26.3,51.8,0.626,1.5,119.812,27.9,0.299,32.0,3.889,34.9,4.116,25.4,119.812,11:23:02.506
167,0.0,26.3,51.8,0.636,1.5,120.074,29.4,0.294,31.8,3.059,34.7,3.474,25.4,120.074,11:23:03.609
168,0.0,26.3,51.8,0.66,1.5,120.037,27.9,0.26,32.0,3.776,34.7,3.323,26.9,120.037,11:23:04.714
169,0.0,26.3,51.8,0.634,1.5,120.673,27.9,0.288,31.6,3.738,34.9,3.7,25.4,120.403,11:23:05.826
170,0.0,26.3,51.8,0.669,1.5,120.534,29.4,0.298,32.0,3.285,35.1,4.267,25.4,120.534,11:23:06.950
171,0.0,28.4,51.8,0.612,1.5,119.968,27.9,0.288,31.8,2.832,34.9,3.663,25.5,119.968,11:23:08.059
172,0.0,26.3,51.8,0.638,1.5,118.915,27.9,0.293,32.0,4.078,34.5,3.549,25.4,118.915,11:23:09.166
173,0.0,28.4,51.8,0.634,1.5,120.19,27.9,0.264,32.0,4.305,34.5,4.116,25.4,120.19,11:23:10.272
174,0.0,26.3,51.8,0.63,1.5,120.461,27.9,0.259,32.0,4.418,35.5,3.776,26.9,120.461,11:23:11.374
175,0.0,26.3,51.8,0.638,1.5,119.269,29.4,0.293,32.0,4.607,34.5,3.549,25.4,119.269,11:23:12.489
176,0.0,28.4,51.8,0.659,1.5,120.053,27.9,0.281,32.2,3.323,34.7,3.889,25.4,120.053,11:23:13.591
177,0.0,26.3,51.8,0.638,1.5,119.507,27.9,0.275,31.8,4.456,34.7,3.323,26.9,119.507,11:23:14.710
178,0.0,26.3,51.8,0.615,1.5,119.886,29.4,0.283,31.8,3.247,34.9,3.436,25.4,119.886,11:23:15.809
179,0.0,28.4,51.8,0.636,1.5,119.385,27.9,0.314,31.8,3.776,34.9,3.474,26.9,119.385,11:23:16.925
180,0.0,26.3,51.8,0.641,1.5,120.427,27.9,0.331,32.2,3.587,34.7,4.078,25.4,120.427,11:23:18.043
181,0.0,26.3,51.8,0.629,1.5,119.346,27.9,0.266,32.0,3.587,34.9,3.172,25.4,119.346,11:23:19.165
182,0.0,28.4,51.8,0.656,1.5,120.25,27.9,0.254,31.8,3.436,35.3,3.549,25.4,120.25,11:23:20.271
