Log,sup_admixture_pump_set_flush_flowrate,sup_admixture_pump_flush_on,sup_admixture_pump_check_duration,sup_admixture_pump_set_check_flowrate,sup_admixture_pump_check_on,sup_admixture_pump_set_dosing_factor,sup_admixture_pump_set_flowrate,sup_admixture_pump_set_run,sup_admixture_pump_on,sup_admixture_pump_max_flowrate,sup_admixture_pump_no_error,sup_admixture_pump_is_ready,sup_admixture_pump_is_run,admixture_pump_set_flush_flowrate,admixture_pump_flush_on,admixture_pump_check_duration,admixture_pump_set_check_flowrate,admixture_pump_check_on,admixture_pump_set_dosing_factor,admixture_pump_set_flowrate,admixture_pump_set_run,admixture_pump_on,admixture_max_flowrate,admixture_pump_no_error,admixture_pump_is_ready,admixture_pump_is_run,concrete_pump_set_dosing_factor,concrete_pump_set_speed,concrete_pump_set_flowrate,concrete_pump_forward_on,concrete_pump_driver_error,concrete_pump_safety_grid_on,concrete_pump_power_on,concrete_pump_is_ready,concrete_pump_is_run,concrete_pump_pressure,concrete_pump_temperature,concrete_fresh_temperature,mixer_set_curved_mode_on,mixer_set_speed,mixer_set_run,mixer_motor_temperature_M2,mixer_motor_temperature_M1,mixer_pressure_funnel_inlet,mixer_temperature_funnel_outlet,mixer_torque_M2,mixer_torque_M1,mixer_speed_M2,mixer_speed_M1,mixer_is_ready,mixer_is_run,Time
39,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.0,25.1,False,120,True,19.3,17.9,0.07007049918174743,26.1,4.23,2.15,119,120,True,True,11:03:22.394
40,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.0,25.1,False,120,True,19.5,17.9,0.06860560774803162,26.1,3.1,2.27,120,120,True,True,11:03:23.431
41,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.4,25.1,False,120,True,19.5,17.9,0.06836146116256714,24.0,3.51,2.19,120,118,True,True,11:03:24.470
42,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.0,25.1,False,120,True,19.8,17.9,0.06677449941635132,24.0,3.62,3.36,120,120,True,True,11:03:25.509
43,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.0,25.1,False,120,True,19.5,17.7,0.06933805346488953,24.0,3.51,2.79,120,121,True,True,11:03:26.547
44,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.0,25.1,False,120,True,19.5,17.9,0.07068086862564087,24.0,4.19,2.91,120,120,True,True,11:03:27.590
45,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.0,25.1,False,120,True,20.0,17.5,0.07092501521110535,24.0,4.04,2.45,120,120,True,True,11:03:28.664
46,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.0,25.1,False,120,True,19.3,17.9,0.07190160751342774,24.0,4.61,2.79,120,120,True,True,11:03:29.705
47,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.0,25.1,False,120,True,19.1,18.2,0.06872768402099609,24.0,3.36,3.78,120,120,True,True,11:03:30.743
48,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.5,25.1,False,120,True,19.8,18.2,0.07116916179656982,26.1,3.74,3.44,121,120,True,True,11:03:31.782
49,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.0,26.6,False,120,True,19.3,17.3,0.06530960798263549,26.1,3.1,2.79,120,120,True,True,11:03:32.826
50,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.5,25.1,False,120,True,19.5,17.5,0.07092501521110535,24.0,3.25,3.02,120,119,True,True,11:03:34.532
51,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.1,25.1,False,120,True,19.5,17.9,0.07104709148406982,26.1,3.32,3.93,120,120,True,True,11:03:35.930
52,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.1,26.6,False,120,True,19.3,17.9,0.0705587923526764,24.0,4.12,3.55,121,119,True,True,11:03:36.972
53,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.5,25.1,False,120,True,19.3,17.5,0.06836146116256714,24.0,4.04,4.12,120,119,True,True,11:03:38.031
54,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.1,25.1,False,120,True,20.0,17.7,0.07068086862564087,24.0,4.04,3.32,120,120,True,True,11:03:39.113
55,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.1,25.1,False,120,True,20.2,17.9,0.0643330156803131,24.0,4.76,3.13,120,120,True,True,11:03:40.153
56,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.1,25.1,False,120,True,19.8,17.9,0.07141331434249878,24.0,3.96,3.62,120,120,True,True,11:03:41.196
57,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.5,25.1,False,120,True,19.5,18.4,0.06970427632331848,24.0,4.3,3.74,120,120,True,True,11:03:42.237
58,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.6,25.1,False,120,True,19.1,17.9,0.0721457540988922,26.1,3.66,4.27,121,120,True,True,11:03:43.278
59,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.1,25.1,False,120,True,20.0,17.9,0.07251197695732117,26.1,2.38,3.36,120,120,True,True,11:03:44.320
60,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.1,25.1,False,120,True,19.5,18.2,0.0704367220401764,26.1,3.7,3.93,120,120,True,True,11:03:45.360
61,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.1,26.6,False,120,True,19.5,17.5,0.0720236837863922,24.0,4.49,2.11,120,121,True,True,11:03:46.404
62,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.1,26.6,False,120,True,20.0,17.9,0.06726279258728027,24.0,3.93,3.36,121,120,True,True,11:03:47.448
63,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.1,25.1,False,120,True,20.0,18.4,0.0720236837863922,26.1,5.36,3.59,120,119,True,True,11:03:48.489
64,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.1,25.1,False,120,True,19.8,18.2,0.06884976029396057,24.0,3.93,3.32,120,120,True,True,11:03:49.531
65,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.1,25.1,False,120,True,19.8,18.2,0.07092501521110535,24.0,4.3,2.76,120,120,True,True,11:03:50.575
66,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.6,25.1,False,120,True,19.8,18.4,0.07116916179656982,24.1,3.96,3.55,120,120,True,True,11:03:51.623
67,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.2,25.1,False,120,True,20.2,17.9,0.06884976029396057,24.0,4.53,3.21,120,120,True,True,11:03:52.669
68,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.6,26.6,False,120,True,19.8,17.7,0.0720236837863922,24.0,3.21,3.59,120,120,True,True,11:03:53.820
69,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.6,26.6,False,120,True,19.5,18.2,0.07019256949424743,24.0,4.34,3.21,120,119,True,True,11:03:54.997
70,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,25.2,25.1,False,120,True,19.8,18.2,0.07104709148406982,26.1,4.34,3.55,120,120,True,True,11:03:56.479
71,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.6,25.1,False,120,True,20.2,17.9,0.07238990664482117,24.0,3.81,3.17,120,120,True,True,11:03:57.522
72,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.6,25.1,False,120,True,19.5,17.9,0.07104709148406982,24.0,3.62,3.32,120,121,True,True,11:03:58.566
73,0,False,0,0,False,100,1200,True,True,148,True,False,True,0,False,0,0,False,100,1900,True,True,606,True,False,True,32,0,40,True,False,True,True,True,True,0.0,26.6,25.1,False,120,True,19.8,17.9,0.06872768402099609,24.1,3.74,3.66,120,120,True,True,11:03:59.609
