Log,ac_flowrate,mixer_torque_M1,mixer_torque_M2,cp_temperature,cp_flowrate,mixer_pressure,mixer_temperature_Funnel,mixer_speed_M2,mixer_motor_temperature_M2,mixer_motor_temperature_M1,cp_pressure,mixer_speed_M1,Time
152,0.0,4.003,2.454,24.8,1.5,0.254,25.1,119.516,22.3,20.0,0.469,119.516,12:20:26.492
153,0.0,2.681,3.549,26.3,1.5,0.269,23.7,119.963,22.0,20.9,0.479,119.963,12:20:27.599
154,0.0,4.078,3.059,24.8,1.5,0.269,25.1,118.765,22.3,19.8,0.46,118.765,12:20:28.706
155,0.0,2.719,4.116,24.8,1.5,0.26,25.1,120.271,22.3,20.4,0.454,120.271,12:20:29.836
156,0.0,2.681,3.738,26.3,1.5,0.259,23.7,120.07,21.8,20.4,0.483,120.07,12:20:30.940
157,0.0,2.945,2.945,24.9,1.5,0.243,23.6,121.125,22.5,20.2,0.468,121.125,12:20:32.049
158,0.0,3.172,3.776,24.8,1.5,0.232,23.7,120.376,22.3,20.4,0.458,120.376,12:20:33.155
159,0.0,3.852,3.474,26.3,1.5,0.308,23.7,119.341,22.5,20.4,0.439,119.341,12:20:34.262
160,0.0,2.53,3.776,24.9,1.5,0.28,25.1,120.814,22.0,20.0,0.47,120.814,12:20:35.371
161,0.0,3.172,3.927,24.9,1.5,0.236,23.7,119.779,22.3,20.4,0.463,119.779,12:20:36.475
162,0.0,3.625,2.379,24.9,1.5,0.27,23.7,120.301,22.0,20.4,0.46,120.301,12:20:37.581
163,0.0,3.323,3.285,24.9,1.5,0.216,23.6,120.033,22.0,20.2,0.468,120.033,12:20:38.685
164,0.0,2.756,3.059,26.3,1.5,0.283,23.7,120.289,22.3,20.4,0.45,120.289,12:20:39.793
165,0.0,2.53,3.059,24.9,1.5,0.256,25.1,120.293,22.3,20.2,0.444,120.293,12:20:40.899
166,0.0,2.756,2.605,24.9,1.5,0.245,25.1,120.02,22.3,20.0,0.491,120.02,12:20:42.024
167,0.0,3.247,4.267,24.9,1.5,0.248,23.7,119.714,22.3,21.1,0.465,119.714,12:20:43.144
168,0.0,3.474,3.21,26.3,1.5,0.256,23.7,119.795,22.3,20.9,0.439,119.795,12:20:44.268
169,0.0,2.908,3.474,24.9,1.5,0.247,25.1,120.063,22.3,20.7,0.476,120.063,12:20:45.377
170,0.0,3.323,3.096,24.9,1.5,0.261,23.7,119.209,22.3,20.4,0.474,119.209,12:20:46.488
171,0.0,2.605,3.247,26.3,1.5,0.232,23.7,120.157,22.3,21.1,0.438,120.157,12:20:47.599
172,0.0,3.814,3.059,24.9,1.5,0.278,25.2,119.142,22.5,19.8,0.472,119.142,12:20:48.707
173,0.0,3.21,3.587,24.9,1.5,0.293,25.2,119.016,22.3,20.4,0.439,119.016,12:20:49.850
174,0.0,2.908,3.625,24.9,1.5,0.25,23.7,120.153,22.5,20.4,0.491,120.153,12:20:50.958
175,0.0,3.738,2.794,24.9,1.5,0.232,23.7,119.784,22.0,20.9,0.449,119.784,12:20:52.068
176,0.0,3.021,4.191,24.9,1.5,0.254,25.2,121.12,22.5,20.2,0.468,121.12,12:20:53.179
177,0.0,2.794,3.172,24.9,1.5,0.28,25.2,120.124,22.5,20.9,0.468,120.124,12:20:54.317
